,Voltage (V),Current Density (mA/cm2),Current (A),Measured Voltage (V)
0,-0.1,-46.1342,-0.003690736,-0.1000098
1,-0.08686868686868687,-40.0877,-0.003207016,-0.08688049
2,-0.07373737373737374,-34.0357375,-0.002722859,-0.0737411
3,-0.06060606060606061,-27.986487499999996,-0.002238919,-0.06060906
4,-0.047474747474747475,-21.93985,-0.001755188,-0.04747951
5,-0.03434343434343434,-15.890075000000001,-0.001271206,-0.03434476
6,-0.02121212121212121,-9.850047499999999,-0.0007880038,-0.02122881
7,-0.008080808080808077,-3.7962037499999997,-0.0003036963,-0.008081046
8,0.005050505050505055,2.3040962499999997,0.0001843277,0.005164825
9,0.018181818181818188,8.35299125,0.0006682393,0.01830122
10,0.03131313131313132,14.399224999999998,0.001151938,0.03142992
11,0.04444444444444445,20.4444625,0.001635557,0.04455994
12,0.057575757575757586,26.491237499999997,0.002119299,0.05769163
13,0.07070707070707072,32.53485,0.002602788,0.07081798
14,0.08383838383838385,38.5871625,0.003086973,0.08396429
15,0.09696969696969698,44.6288,0.003570304,0.09708703
16,0.11010101010101012,50.678650000000005,0.004054292,0.1102267
17,0.12323232323232325,56.7174875,0.004537399,0.1233462
18,0.13636363636363638,62.7716375,0.005021731,0.1364969
19,0.14949494949494951,68.8100875,0.005504807,0.149614
20,0.16262626262626265,74.85730000000001,0.005988584,0.1627493
21,0.17575757575757575,80.8985625,0.006471885,0.1758763
22,0.1888888888888889,86.9464125,0.006955713,0.1890139
23,0.20202020202020207,92.98701249999999,0.007438961,0.202136
24,0.21515151515151518,99.0110375,0.007920883,0.2152144
25,0.22828282828282828,105.0550625,0.008404405,0.228349
26,0.24141414141414144,111.097975,0.008887838,0.2414798
27,0.25454545454545463,117.15759999999999,0.009372608,0.2546484
28,0.26767676767676774,123.216325,0.009857306,0.2678151
29,0.28080808080808084,129.24124999999998,0.0103393,0.2809053
30,0.29393939393939394,135.277125,0.01082217,0.2940303
31,0.30707070707070716,141.293125,0.01130345,0.307104
32,0.32020202020202027,147.341125,0.01178729,0.3202471
33,0.33333333333333337,153.38625,0.0122709,0.3333909
34,0.3464646464646465,159.412875,0.01275303,0.346494
35,0.3595959595959597,165.458,0.01323664,0.3596365
36,0.3727272727272728,171.48524999999998,0.01371882,0.372743
37,0.3858585858585859,177.51762499999998,0.01420141,0.3858532
38,0.398989898989899,183.56074999999998,0.01468486,0.3989959
39,0.4121212121212122,189.57375,0.0151659,0.4120688
40,0.4252525252525253,195.6265,0.01565012,0.425235
41,0.43838383838383843,201.68012499999998,0.01613441,0.4384025
42,0.45151515151515154,207.69625,0.0166157,0.4514986
43,0.46464646464646475,213.75087499999998,0.01710007,0.4646662
44,0.47777777777777786,219.80074999999997,0.01758406,0.4778314
45,0.49090909090909096,225.83525,0.01806682,0.4909607
46,0.5040404040404042,231.871875,0.01854975,0.5040911
47,0.5171717171717173,237.90787499999996,0.01903263,0.5172226
48,0.5303030303030304,243.955125,0.01951641,0.5303895
49,0.5434343434343435,250.005875,0.02000047,0.5435557
50,0.5565656565656566,256.020125,0.02048161,0.5566524
51,0.5696969696969698,262.05825,0.02096466,0.5697954
52,0.5828282828282829,268.0965,0.02144772,0.5829365
53,0.595959595959596,274.105125,0.02192841,0.5960115
54,0.6090909090909092,280.13875,0.0224111,0.6091519
55,0.6222222222222223,286.161,0.02289288,0.6222616
56,0.6353535353535354,292.19250000000005,0.0233754,0.635399
57,0.6484848484848486,298.214375,0.02385715,0.6485081
58,0.6616161616161617,304.2335,0.02433868,0.6616153
59,0.6747474747474749,310.261625,0.02482093,0.6747589
60,0.687878787878788,316.28950000000003,0.02530316,0.6878991
61,0.7010101010101011,322.296,0.02578368,0.7009917
62,0.7141414141414143,328.33824999999996,0.02626706,0.7141586
63,0.7272727272727274,334.3585,0.02674868,0.7272584
64,0.7404040404040405,340.397625,0.02723181,0.7404263
65,0.7535353535353536,346.443375,0.02771547,0.7535949
66,0.7666666666666667,352.467,0.02819736,0.7667221
67,0.7797979797979799,358.506875,0.02868055,0.7798909
68,0.792929292929293,364.5235,0.02916188,0.7930227
69,0.8060606060606061,370.55075,0.02964406,0.8061568
70,0.8191919191919194,376.58449999999993,0.03012676,0.8193232
71,0.8323232323232325,382.592875,0.03060743,0.8324224
72,0.8454545454545456,388.61525,0.03108922,0.8455704
73,0.8585858585858587,394.639,0.03157112,0.858713
74,0.8717171717171718,400.631,0.03205048,0.8717861
75,0.884848484848485,406.65400000000005,0.03253232,0.8849299
76,0.8979797979797981,412.669375,0.03301355,0.8980706
77,0.9111111111111113,418.68012500000003,0.03349441,0.9111762
78,0.9242424242424244,424.69662500000004,0.03397573,0.9243171
79,0.9373737373737375,430.6837499999999,0.0344547,0.9373909
80,0.9505050505050506,436.697375,0.03493579,0.9505334
81,0.9636363636363637,442.71950000000004,0.03541756,0.9636753
82,0.9767676767676768,448.71325,0.03589706,0.9767578
83,0.98989898989899,454.74249999999995,0.0363794,0.9899282
84,1.003030303030303,460.76800000000003,0.03686144,1.003095
85,1.0161616161616163,466.765875,0.03734127,1.016197
86,1.0292929292929294,472.79150000000004,0.03782332,1.029365
87,1.0424242424242425,478.808375,0.03830467,1.0425
88,1.0555555555555556,484.82262499999996,0.03878581,1.055666
89,1.0686868686868687,490.8265,0.03926612,1.0688
90,1.0818181818181818,496.83949999999993,0.03974716,1.081934
91,1.094949494949495,502.8601249999999,0.04022881,1.095103
92,1.1080808080808082,508.878375,0.04071027,1.108271
93,1.1212121212121213,514.863,0.04118904,1.12136
94,1.1343434343434344,520.856,0.04166848,1.1345
95,1.1474747474747475,526.8368750000001,0.04214695,1.147575
96,1.1606060606060606,532.840375,0.04262723,1.160716
97,1.1737373737373737,538.8412500000001,0.0431073,1.173859
98,1.1868686868686869,544.8257500000001,0.04358606,1.186961
99,1.2,550.8205,0.04406564,1.200104
